Zeit;TE1;TE2;Ush;TMref;TM11;TM12;UBE1;TM21;TM22;UBE2;UCE
50.713747;142;89;4696;1026;821;858;1517;687;687;753;1118
51.213169;142;88;4698;1027;819;854;1515;688;689;752;1120
51.713259;143;88;4693;1027;816;852;1514;689;689;753;1119
52.213316;145;87;4700;1026;814;850;1514;690;690;753;1119
52.712459;145;88;4700;1026;811;847;1514;692;693;754;1115
53.213443;146;87;4700;1027;808;846;1514;693;695;754;1119
53.712062;147;87;4701;1027;806;844;1513;695;691;754;1116
54.213646;148;87;4700;1027;802;844;1513;695;697;755;1117
54.713065;148;85;4699;1027;800;841;1511;697;697;755;1117
55.213097;149;86;4697;1028;796;838;1512;699;699;755;1116
55.713875;150;85;4697;1027;794;836;1512;699;699;756;1116
56.213038;151;85;4698;1027;791;835;1510;700;701;756;1112
56.713443;152;84;4699;1027;789;833;1510;700;701;757;1113
57.213487;153;84;4703;1027;786;830;1510;702;702;758;1116
57.713464;154;83;4695;1027;782;829;1509;704;704;758;1112
58.213261;155;83;4698;1027;780;827;1508;705;705;757;1113
58.712847;156;84;4698;1027;776;826;1508;706;706;757;1113
59.212134;156;83;4699;1027;775;822;1508;708;707;757;1111
59.713529;157;83;4696;1027;772;818;1506;708;709;758;1109
60.213549;158;82;4700;1027;770;819;1506;709;708;758;1111
60.713962;159;82;4699;1027;769;815;1506;710;709;759;1111
61.212593;160;82;4697;1028;763;814;1506;712;711;759;1111
61.713324;160;82;4702;1026;763;811;1506;712;712;759;1111
62.212414;161;81;4699;1027;759;808;1505;715;712;761;1112
62.713387;161;81;4702;1027;757;806;1504;715;714;761;1110
63.212287;163;81;4700;1026;752;804;1504;715;715;760;1110
63.713326;164;80;4700;1026;750;802;1504;715;716;762;1110
64.213137;164;80;4700;1028;748;798;1504;716;717;760;1110
64.713202;165;79;4697;1027;745;799;1503;718;719;762;1108
65.213365;165;80;4702;1027;742;796;1502;718;722;762;1110
65.712976;166;79;4703;1028;741;794;1501;719;719;763;1108
66.213132;167;79;4698;1027;738;791;1501;721;720;763;1107
66.712999;167;79;4698;1027;736;788;1502;720;722;764;1110
67.213025;168;78;4703;1027;734;786;1501;721;723;762;1109
67.713535;170;78;4700;1026;733;784;1500;722;723;764;1110
68.212037;169;78;4700;1027;729;782;1499;724;723;764;1107
68.713115;171;78;4703;1026;727;779;1499;725;726;764;1108
69.212489;171;78;4700;1027;725;777;1499;727;726;764;1106
69.713737;172;77;4703;1027;723;774;1498;728;725;765;1105
70.21335;173;77;4697;1026;721;772;1498;729;727;766;1106
70.712893;173;76;4695;1027;719;770;1497;730;728;764;1111
71.213637;174;76;4700;1027;716;766;1497;731;729;765;1105
71.713637;174;76;4696;1027;714;765;1497;732;729;766;1104
72.213275;176;76;4702;1026;713;763;1497;733;727;767;1105
72.712566;176;76;4698;1027;710;761;1496;733;731;767;1102
73.212685;176;76;4699;1027;707;759;1496;735;731;766;1107
73.713519;176;74;4696;1026;704;758;1496;735;733;767;1100
74.213361;177;75;4700;1026;703;756;1495;737;733;768;1103
74.71336;178;74;4699;1026;701;755;1495;737;734;768;1102
75.212343;180;74;4697;1026;698;751;1494;738;735;767;1102
75.713005;180;74;4699;1027;694;750;1494;738;736;769;1106
76.212213;181;74;4699;1027;694;748;1493;740;738;770;1099
76.713469;181;74;4696;1028;691;747;1493;744;739;769;1102
77.212575;181;73;4695;1026;690;747;1493;747;742;769;1097
77.713148;182;73;4700;1027;689;747;1493;752;744;769;1102
78.213226;182;72;4702;1027;689;747;1492;756;744;771;1096
78.712344;184;72;4698;1026;687;744;1492;757;745;771;1098
79.213085;183;72;4701;1026;686;742;1491;763;745;771;1090
79.712945;184;72;4704;1027;683;740;1490;760;746;772;1095
80.213403;185;71;4700;1028;683;737;1491;762;747;771;1095
80.712782;186;71;4697;1027;679;736;1490;764;747;771;1087
81.212552;186;71;4700;1027;678;732;1489;764;748;772;1097
81.713232;186;71;4697;1026;676;730;1490;764;748;772;1095
82.21299;188;70;4698;1026;673;729;1489;764;751;772;1089
82.712759;188;71;4699;1027;671;726;1488;764;751;772;1089
83.212853;189;69;4697;1027;670;723;1488;766;752;772;1086
83.713323;189;70;4699;1027;668;721;1489;766;752;773;1092
84.212415;190;69;4697;1027;666;718;1488;767;754;774;1100
84.713089;190;69;4698;1027;665;717;1486;767;754;770;1085
85.213336;192;70;4696;1026;663;715;1487;768;755;773;1086
85.713022;192;69;4700;1027;662;714;1488;768;755;773;1085
86.212355;191;68;4702;1027;659;711;1486;769;756;775;1086
86.711344;192;68;4698;1027;657;710;1486;769;757;774;1084
87.21332;192;68;4697;1026;657;709;1486;770;758;774;1086
87.713268;194;68;4696;1027;656;707;1486;772;758;775;1087
88.212711;194;68;4699;1026;653;705;1485;775;759;775;1085
88.713498;195;68;4697;1027;652;703;1484;778;759;775;1084
89.212947;195;67;4700;1027;651;701;1484;778;761;775;1084
89.714147;196;67;4698;1027;649;699;1485;780;761;776;1084
90.213201;197;66;4695;1026;647;699;1484;780;763;777;1085
90.713318;197;66;4699;1026;645;696;1483;781;763;777;1083
91.213106;197;66;4700;1027;643;695;1484;781;763;777;1091
91.713506;197;66;4697;1026;640;692;1483;781;764;778;1084
92.2132;199;66;4698;1026;638;691;1483;781;765;778;1085
92.713358;198;65;4697;1026;637;690;1483;780;765;778;1082
93.21284;199;65;4696;1027;635;688;1482;780;767;778;1085
93.712815;200;64;4701;1027;632;688;1480;780;767;778;1083
94.213597;200;65;4697;1026;630;685;1481;781;768;777;1081
94.713083;201;65;4702;1028;628;683;1481;779;769;778;1083
95.212648;201;65;4702;1027;625;682;1481;780;770;779;1083
95.713856;202;64;4696;1027;623;680;1480;779;770;779;1081
96.213262;203;64;4699;1026;622;679;1481;781;771;778;1084
96.712813;202;64;4700;1027;620;679;1480;780;771;779;1084
97.212415;203;64;4698;1028;618;678;1482;780;772;779;1080
97.714005;203;63;4696;1027;617;676;1480;780;772;782;1082
98.213337;205;63;4700;1027;615;674;1479;780;773;780;1081
98.713974;204;63;4695;1028;614;672;1479;780;773;781;1081
99.212901;204;63;4698;1027;612;671;1479;781;773;782;1083
99.712914;206;62;4699;1027;611;670;1479;780;775;781;1081
100.212314;206;63;4697;1027;609;669;1480;780;776;780;1080
100.712866;207;63;4699;1027;613;667;1479;781;776;781;1080
101.213462;207;63;4701;1027;607;664;1478;781;776;782;1081
101.713616;208;61;4697;1030;605;663;1477;782;777;781;1081
102.213974;208;62;4699;1027;604;662;1477;783;778;783;1080
102.712895;209;61;4697;1027;602;661;1476;785;778;783;1079
103.213461;209;62;4702;1026;600;659;1476;786;779;782;1082
103.712887;209;61;4704;1030;599;658;1477;787;779;783;1081
104.212993;209;61;4701;1026;598;658;1475;787;780;784;1081
104.713484;210;61;4697;1026;596;657;1476;786;781;783;1078
105.212772;211;61;4697;1026;596;655;1475;786;782;783;1079
105.712096;211;60;4700;1026;594;653;1474;788;783;784;1080
106.213443;211;61;4700;1025;592;653;1474;788;783;784;1078
106.710845;212;60;4695;1027;591;650;1474;788;784;784;1078
107.212456;213;60;4698;1026;589;649;1474;789;785;784;1080
107.712382;213;59;4698;1026;588;648;1474;790;785;784;1077
108.212523;213;59;4698;1027;587;646;1474;786;786;786;1078
108.713296;214;59;4696;1026;585;646;1473;791;787;784;1078
109.212267;214;59;4699;1027;584;643;1473;791;788;785;1080
109.712536;215;59;4696;1027;582;642;1473;791;788;785;1077
110.212524;216;59;4696;1026;581;640;1473;792;790;786;1078
110.713155;216;59;4700;1026;579;641;1472;794;790;786;1076
111.212464;215;58;4694;1026;577;639;1472;792;790;786;1079
111.713434;216;58;4698;1026;577;637;1472;794;790;786;1076
112.213527;218;58;4699;1026;576;636;1472;796;791;786;1077
112.714517;217;57;4697;1024;575;635;1471;797;791;787;1080
113.212936;218;58;4704;1027;575;634;1471;799;793;787;1077
113.713066;218;58;4698;1026;575;633;1471;803;793;787;1075
114.211065;218;57;4698;1026;574;632;1471;804;794;786;1076
114.713103;218;56;4700;1027;573;631;1471;805;795;787;1077
115.21236;219;57;4700;1026;571;630;1470;809;796;788;1079
115.712959;219;57;4699;1024;569;628;1470;810;797;788;1078
116.212212;219;57;4700;1026;569;628;1470;812;798;788;1074
116.713057;220;57;4701;1026;572;627;1470;814;798;789;1078
117.213119;220;55;4699;1027;566;627;1469;815;799;790;1074
117.713119;219;56;4701;1026;566;625;1469;816;799;789;1076
118.212967;220;56;4701;1027;564;625;1472;818;801;789;1075
