x-axis,1
second,Volt
+1.235000E-03,-2.256499950E+00
+1.239100E-03,-2.249914584E+00
+1.243200E-03,-2.219914585E+00
+1.247300E-03,-2.189914585E+00
+1.251400E-03,-2.166499952E+00
+1.255500E-03,-2.153329220E+00
+1.259600E-03,-2.106499953E+00
+1.263700E-03,-2.099914587E+00
+1.267800E-03,-2.069914588E+00
+1.271900E-03,-2.046499955E+00
+1.276000E-03,-2.039914589E+00
+1.280100E-03,-2.016499955E+00
+1.284200E-03,-2.003329224E+00
+1.288300E-03,-1.963085322E+00
+1.292400E-03,-1.973329224E+00
+1.296500E-03,-1.919914592E+00
+1.300600E-03,-1.903085324E+00
+1.304700E-03,-1.913329226E+00
+1.308800E-03,-1.866499959E+00
+1.312900E-03,-1.859914593E+00
+1.317000E-03,-1.829914594E+00
+1.321100E-03,-1.806499960E+00
+1.325200E-03,-1.793329228E+00
+1.329300E-03,-1.746499961E+00
+1.333400E-03,-1.739914596E+00
+1.337500E-03,-1.716499962E+00
+1.341600E-03,-1.703329230E+00
+1.345700E-03,-1.656499963E+00
+1.349800E-03,-1.649914598E+00
+1.353900E-03,-1.619914598E+00
+1.358000E-03,-1.596499965E+00
+1.362100E-03,-1.583329233E+00
+1.366200E-03,-1.536499966E+00
+1.370300E-03,-1.529914600E+00
+1.374400E-03,-1.499914601E+00
+1.378500E-03,-1.483085333E+00
+1.382600E-03,-1.493329235E+00
+1.386700E-03,-1.439914602E+00
+1.390800E-03,-1.409914603E+00
+1.394900E-03,-1.386499969E+00
+1.399000E-03,-1.386499969E+00
+1.403100E-03,-1.373329238E+00
+1.407200E-03,-1.319914605E+00
+1.411300E-03,-1.289914606E+00
+1.415400E-03,-1.266499972E+00
+1.419500E-03,-1.259914606E+00
+1.423600E-03,-1.229914607E+00
+1.427700E-03,-1.199914608E+00
+1.431800E-03,-1.169914608E+00
+1.435900E-03,-1.146499975E+00
+1.440000E-03,-1.139914609E+00
+1.444100E-03,-1.109914610E+00
+1.448200E-03,-1.086499976E+00
+1.452300E-03,-1.073329245E+00
+1.456400E-03,-1.019914612E+00
+1.460500E-03,-996.499978E-03
+1.464600E-03,-989.914612E-03
+1.468700E-03,-953.329247E-03
+1.472800E-03,-899.914614E-03
+1.476900E-03,-883.085346E-03
+1.481000E-03,-893.329249E-03
+1.485100E-03,-839.914616E-03
+1.489200E-03,-809.914616E-03
+1.493300E-03,-779.914617E-03
+1.497400E-03,-756.499983E-03
+1.501500E-03,-749.914618E-03
+1.505600E-03,-719.914618E-03
+1.509700E-03,-689.914619E-03
+1.513800E-03,-659.914620E-03
+1.517900E-03,-636.499986E-03
+1.522000E-03,-629.914620E-03
+1.526100E-03,-599.914621E-03
+1.530200E-03,-576.499987E-03
+1.534300E-03,-563.329256E-03
+1.538400E-03,-516.499989E-03
+1.542500E-03,-509.914623E-03
+1.546600E-03,-479.914624E-03
+1.550700E-03,-449.914624E-03
+1.554800E-03,-413.329259E-03
+1.558900E-03,-366.499992E-03
+1.563000E-03,-366.499992E-03
+1.567100E-03,-359.914626E-03
+1.571200E-03,-323.329261E-03
+1.575300E-03,-269.914628E-03
+1.579400E-03,-246.499995E-03
+1.583500E-03,-239.914629E-03
+1.587600E-03,-203.329264E-03
+1.591700E-03,-156.499997E-03
+1.595800E-03,-149.914631E-03
+1.599900E-03,-119.914632E-03
+1.604000E-03,-96.499998E-03
+1.608100E-03,-89.914632E-03
+1.612200E-03,-53.329267E-03
+1.616300E-03,-6.500000E-03
+1.620400E-03,+85.366E-06
+1.624500E-03,+23.499999E-03
+1.628600E-03,+30.085365E-03
+1.632700E-03,+60.085364E-03
+1.636800E-03,+90.085364E-03
+1.640900E-03,+113.499997E-03
+1.645000E-03,+126.670729E-03
+1.649100E-03,+180.085362E-03
+1.653200E-03,+210.085361E-03
+1.657300E-03,+233.499995E-03
+1.661400E-03,+246.670726E-03
+1.665500E-03,+300.085359E-03
+1.669600E-03,+330.085358E-03
+1.673700E-03,+353.499992E-03
+1.677800E-03,+360.085358E-03
+1.681900E-03,+383.499991E-03
+1.686000E-03,+396.670723E-03
+1.690100E-03,+443.499990E-03
+1.694200E-03,+450.085356E-03
+1.698300E-03,+473.499989E-03
+1.702400E-03,+486.670721E-03
+1.706500E-03,+540.085354E-03
+1.710600E-03,+570.085353E-03
+1.714700E-03,+600.085352E-03
+1.718800E-03,+636.670717E-03
+1.722900E-03,+683.499984E-03
+1.727000E-03,+683.499984E-03
+1.731100E-03,+690.085350E-03
+1.735200E-03,+720.085349E-03
+1.739300E-03,+750.085349E-03
+1.743400E-03,+773.499982E-03
+1.747500E-03,+786.670714E-03
+1.751600E-03,+833.499981E-03
+1.755700E-03,+840.085347E-03
+1.759800E-03,+870.085346E-03
+1.763900E-03,+900.085345E-03
+1.768000E-03,+936.670710E-03
+1.772100E-03,+983.499978E-03
+1.776200E-03,+990.085343E-03
+1.780300E-03,+1.020085343E+00
+1.784400E-03,+1.043499976E+00
+1.788500E-03,+1.050085342E+00
+1.792600E-03,+1.080085341E+00
+1.796700E-03,+1.103499975E+00
+1.800800E-03,+1.110085341E+00
+1.804900E-03,+1.140085340E+00
+1.809000E-03,+1.170085339E+00
+1.813100E-03,+1.206670704E+00
+1.817200E-03,+1.253499972E+00
+1.821300E-03,+1.253499972E+00
+1.825400E-03,+1.260085337E+00
+1.829500E-03,+1.283499971E+00
+1.833600E-03,+1.296670702E+00
+1.837700E-03,+1.343499970E+00
+1.841800E-03,+1.356670701E+00
+1.845900E-03,+1.403499968E+00
