x-axis,1,2
second,Volt,Volt
-14.1520E-03,-4.4437498E+00,-293.3313E-03
-14.0240E-03,-4.3874998E+00,-292.5500E-03
-13.8960E-03,-4.2890623E+00,-289.4250E-03
-13.7680E-03,-4.1765623E+00,-287.0813E-03
-13.6400E-03,-4.1062498E+00,-288.6438E-03
-13.5120E-03,-3.9374998E+00,-286.3000E-03
-13.3840E-03,-3.8249998E+00,-283.1750E-03
-13.2560E-03,-3.6703123E+00,-280.8313E-03
-13.1280E-03,-3.5999998E+00,-279.2688E-03
-13.0000E-03,-3.3890623E+00,-279.2688E-03
-12.8720E-03,-3.1781248E+00,-273.8000E-03
-12.7440E-03,-2.8828123E+00,-267.5500E-03
-12.6160E-03,-2.6578123E+00,-262.0813E-03
-12.4880E-03,-2.4890623E+00,-260.5188E-03
-12.3600E-03,-2.3203123E+00,-255.8313E-03
-12.2320E-03,-2.1937499E+00,-248.8000E-03
-12.1040E-03,-2.0249999E+00,-245.6750E-03
-11.9760E-03,-1.8140624E+00,-240.2063E-03
-11.8480E-03,-1.6453124E+00,-233.9563E-03
-11.7200E-03,-1.4624999E+00,-227.7063E-03
-11.5920E-03,-1.3078124E+00,-221.4563E-03
-11.4640E-03,-1.1812499E+00,-215.9875E-03
-11.3360E-03,-984.3749E-03,-211.3000E-03
-11.2080E-03,-843.7499E-03,-205.0500E-03
-11.0800E-03,-745.3124E-03,-196.4563E-03
-10.9520E-03,-520.3124E-03,-190.2063E-03
-10.8240E-03,-393.7499E-03,-183.1750E-03
-10.6960E-03,-253.1249E-03,-175.3625E-03
-10.5680E-03,-154.6874E-03,-167.5500E-03
-10.4400E-03,-14.0624E-03,-161.3000E-03
-10.3120E-03,+56.2501E-03,-152.7063E-03
-10.1840E-03,+126.5626E-03,-145.6750E-03
-10.0560E-03,+210.9376E-03,-136.3000E-03
-9.9280E-03,+295.3126E-03,-124.5813E-03
-9.8000E-03,+379.6876E-03,-115.9875E-03
-9.6720E-03,+393.7501E-03,-110.5188E-03
-9.5440E-03,+478.1251E-03,-95.6750E-03
-9.4160E-03,+562.5001E-03,-85.5188E-03
-9.2880E-03,+604.6876E-03,-75.3625E-03
-9.1600E-03,+632.8126E-03,-67.5500E-03
-9.0320E-03,+689.0626E-03,-55.0500E-03
-8.9040E-03,+717.1876E-03,-40.9875E-03
-8.7760E-03,+759.3751E-03,-31.6125E-03
-8.6480E-03,+787.5001E-03,-18.3313E-03
-8.5200E-03,+843.7501E-03,-6.6125E-03
-8.3920E-03,+843.7501E-03,+3.5438E-03
